,ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Lifetime Days,Country,Yearly_count
1534,1535,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,United States of America,0.6
510,511,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
36,37,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Kenya,0.6
934,935,RoomMaster,Joined post-Sprint - June,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,153.0,Rwanda,0.4
1444,1445,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Guinea,0.6
260,261,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,female,214.0,Kenya,0.6
1265,1266,RoomMaster,Existing Room member,Free Trial,Young Leader,ALN,checked,male,171.0,Nigeria,0.5
205,206,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184.0,Ghana,0.5
253,254,RoomMaster,Joined post-Sprint - May,Free Trial,Senior Leader,ALUSB Alumni,checked,female,184.0,Kenya,0.5
1483,1484,RoomMaster,Joined post-Sprint - May,Free Trial,Senior Leader,ALUSB Alumni,checked,male,184.0,Kenya,0.5
1154,1155,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1065,1066,RoomMaster,Joined post-Sprint - June,Premium Paying,Mid-career Leader,ALUSB 2016 Alumni ISA,checked,male,153.0,Namibia,0.4
1312,1313,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
1359,1360,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,male,366.0,Netherlands,1.0
739,740,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Kenya,0.6
193,194,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,214.0,Nigeria,0.6
1612,1613,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Egypt,0.5
274,275,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,214.0,Senegal,0.6
307,308,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,366.0,Kenya,1.0
1014,1015,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Cape Verde,0.6
1052,1053,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,male,366.0,United States of America,1.0
1543,1544,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,female,214.0,Kenya,0.6
133,134,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,South Africa,0.6
490,491,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
1363,1364,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
972,973,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214.0,South Africa,0.6
792,793,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,United States of America,0.6
1082,1083,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,Corporate Partner,checked,female,153.0,Kenya,0.4
1495,1496,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,214.0,Zimbabwe,0.6
155,156,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
606,607,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
1018,1019,RoomMaster,The Room staff,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
329,330,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
241,242,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Nigeria,0.6
866,867,RoomMaster,Joined post-Sprint - June,Free Trial,Young Leader,ALU Alumni,checked,male,153.0,Egypt,0.4
803,804,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Morocco,0.6
822,823,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Kenya,0.6
1119,1120,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,checked,male,214.0,Ghana,0.6
263,264,RoomMaster,Existing Room member,Founding Member,Senior Leader,School of Wildlife Conservation,checked,female,366.0,Kenya,1.0
641,642,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,South Africa,0.6
805,806,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Mauritius,0.6
786,787,RoomMaster,XL Nairobi 2018,Free Trial,Young Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
1206,1207,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
560,561,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
1197,1198,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
1668,1669,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184.0,Zimbabwe,0.5
1107,1108,RoomMaster,Joined post-Sprint - June,Staff Membership,Senior Leader,AL Staff,checked,male,153.0,Mauritius,0.4
1646,1647,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Ghana,0.6
1263,1264,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
466,467,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214.0,Ghana,0.6
692,693,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,female,214.0,Rwanda,0.6
261,262,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALUSB Alumni,checked,female,366.0,Kenya,1.0
448,449,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
345,346,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
1610,1611,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Ghana,0.6
1079,1080,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,366.0,Kenya,1.0
1300,1301,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Kenya,1.0
332,333,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
474,475,RoomMaster,LP Nairobi 2020,Free Trial,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
1486,1487,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
1111,1112,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,South Africa,1.0
1549,1550,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Kenya,1.0
879,880,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Mauritius,0.5
218,219,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,female,214.0,South Africa,0.6
1081,1082,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
266,267,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Zambia,0.5
661,662,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1261,1262,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,South Africa,0.6
394,395,RoomMaster,XL Nairobi 2020,Free Trial,Mid-career Leader,XL Nairobi 2020,checked,male,214.0,Kenya,0.6
316,317,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
527,528,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Kenya,0.6
903,904,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,214.0,Botswana,0.6
1693,1694,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1513,1514,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
1565,1566,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
1478,1479,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Kenya,0.6
850,851,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
967,968,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,214.0,Kenya,0.6
489,490,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,South Africa,1.0
532,533,RoomMaster,ALU staff,Staff Membership,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
605,606,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,female,214.0,Senegal,0.6
9,10,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
643,644,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Kenya,0.6
1489,1490,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184.0,Cote d'Ivoire,0.5
56,57,RoomMaster,The Room staff,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
1641,1642,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,male,214.0,United States of America,0.6
762,763,RoomMaster,Joined post-Sprint - June,Staff Membership,Mid-career Leader,AL Staff,checked,male,153.0,United Kingdom,0.4
122,123,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,School of Wildlife Conservation,checked,male,366.0,South Africa,1.0
318,319,RoomMaster,Existing Room member,Premium Paying,Mid-career Leader,ALUSB 2016 Alumni ISA,checked,male,214.0,Ghana,0.6
525,526,RoomMaster,Joined post-Sprint - June,Staff Membership,Mid-career Leader,AL Staff,checked,female,153.0,Zimbabwe,0.4
388,389,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Lesotho,0.5
908,909,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,United States of America,0.6
1069,1070,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
325,326,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
836,837,RoomMaster,Joined post-Sprint - June,Free Trial,Young Leader,ALU Alumni,checked,male,153.0,Nigeria,0.4
678,679,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,South Africa,0.6
428,429,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Mauritius,0.5
1010,1011,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184.0,South Africa,0.5
915,916,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Nigeria,0.6
975,976,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,Staff Alumni,checked,male,366.0,Mauritius,1.0
658,659,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,214.0,Nigeria,0.6
159,160,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Mauritius,0.6
825,826,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,South Africa,1.0
1113,1114,RoomMaster,Existing Room member,Staff Membership,Senior Leader,AL Staff,checked,female,214.0,Germany,0.6
230,231,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
1078,1079,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
436,437,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Gambia,1.0
1085,1086,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,214.0,Nigeria,0.6
1665,1666,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,171.0,Canadian,0.5
156,157,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,female,214.0,Kenya,0.6
123,124,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184.0,Tunisia,0.5
1053,1054,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,male,214.0,Nigeria,0.6
413,414,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,checked,male,214.0,Nigeria,0.6
773,774,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,male,214.0,United States of America,0.6
674,675,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,South Africa,0.6
978,979,RoomMaster,Existing Room member,Founding Member,Senior Leader,Advisory Council,checked,female,366.0,South Africa,1.0
917,918,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Kenya,1.0
375,376,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Rwanda,0.6
608,609,RoomMaster,Joined post-Sprint - May,Staff Membership,Young Leader,AL Staff,checked,female,184.0,Kenya,0.5
878,879,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Ghana,0.6
1274,1275,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,female,214.0,Kenya,0.6
1698,1699,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,United States of America,1.0
950,951,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Rwanda,0.6
1657,1658,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,171.0,American,0.5
948,949,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
668,669,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
635,636,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,214.0,Kenya,0.6
1067,1068,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,Kenya,1.0
6,7,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,male,214.0,Kenya,0.6
1108,1109,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Mauritius,0.6
853,854,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Ghana,1.0
732,733,RoomMaster,Existing Room member,Founding Member,Senior Leader,Advisory Council,checked,male,366.0,South Africa,1.0
533,534,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
1062,1063,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,214.0,Uganda,0.6
175,176,RoomMaster,Joined post-Sprint - June,Free Trial,Young Leader,ALU Alumni,checked,female,153.0,Kenya,0.4
1524,1525,RoomMaster,Existing Room member,Founding Member,Senior Leader,Advisory Council,checked,female,366.0,Kenya,1.0
252,253,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214.0,Nigeria,0.6
12,13,RoomMaster,Joined post-Sprint August,Premium Paying,Mid-career Leader,ALUSB 2016 Alumni ISA,checked,male,92.0,Ghana,0.3
393,394,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,Kenya,1.0
296,297,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,214.0,Nigeria,0.6
141,142,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
1214,1215,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Ghana,0.6
1146,1147,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Mauritius,0.6
709,710,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,214.0,France,0.6
61,62,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Ethiopia,0.5
323,324,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184.0,Kenya,0.5
303,304,RoomMaster,Joined post-Sprint July,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,123.0,Tanzania,0.3
681,682,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
753,754,RoomMaster,Joined post-Sprint - June,Staff Membership,Senior Leader,Entrepreneur in Residence,checked,female,153.0,Rwanda,0.4
20,21,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,male,214.0,United States of America,0.6
1027,1028,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,United States of America,0.6
289,290,RoomMaster,Existing Room member,Premium Paying,Mid-career Leader,ALN,checked,male,214.0,Uganda,0.6
706,707,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,123.0,United Arab Emirates,0.3
412,413,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,female,214.0,Ghana,0.6
1058,1059,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,male,214.0,United States of America,0.6
1475,1476,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,South Africa,0.6
1606,1607,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,female,214.0,Kenya,0.6
653,654,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Nigeria,0.6
744,745,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
1181,1182,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
1211,1212,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
1380,1381,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,United States of America,1.0
222,223,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
469,470,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Zimbabwe,0.5
891,892,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
1490,1491,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,female,214.0,United Kingdom,0.6
952,953,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
