ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Lifetime Days,Country,Year_count
18,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,214,Nigeria,0.6
19,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,female,214,South Africa,0.6
20,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214,Senegal,0.6
21,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,male,214,United States of America,0.6
22,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366,Nigeria,1.0
23,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,Missing Data,female,366,South Africa,1.0
24,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,Member Nomination,checked,female,214,South Africa,0.6
25,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,Parent,checked,male,214,Kenya,0.6
26,RoomMaster,Existing Room member,Free Trial,Missing Data,ALN,checked,female,171,Kenya,0.5
27,RoomMaster,Missing Data,Staff Membership,Mid-career Leader,AL Staff,checked,male,31,Missing Data,0.1
28,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214,Rwanda,0.6
29,RoomMaster,Existing Room member,Free Trial,Senior Leader,Missing Data,checked,male,214,United States of America,0.6
30,RoomMaster,Missing Data,Free Trial,Mid-career Leader,Missing Data,checked,female,92,Missing Data,0.3
31,RoomMaster,Missing Data,Staff Membership,Mid-career Leader,AL Staff,checked,Missing Data,61,Missing Data,0.2
32,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,Staff Nomination,checked,female,153,Cote d'Ivoire,0.4
33,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214,Rwanda,0.6
34,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214,Kenya,0.6
35,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214,Kenya,0.6
36,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214,Kenya,0.6
37,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214,Kenya,0.6
38,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,214,United States of America,0.6
39,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,South Africa,1.0
40,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214,Kenya,0.6
41,RoomMaster,The Room staff,Founding Member,Senior Leader,AL Staff,checked,male,214,United States of America,0.6
42,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,Missing Data,male,214,Kenya,0.6
43,RoomMaster,Missing Data,Staff Membership,Young Leader,AL Staff,checked,female,31,Missing Data,0.1
44,RoomMaster,Existing Room member,Founding Member,Senior Leader,Advisory Council,Missing Data,male,366,South Africa,1.0
45,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366,South Africa,1.0
46,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,South Africa,1.0
47,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,Staff Alumni,checked,female,214,Mauritius,0.6
48,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214,Portugal,0.6
49,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214,Nigeria,0.6
50,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214,Kenya,0.6
51,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214,Kenya,0.6
52,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214,Nigeria,0.6
53,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,366,Ethiopia,1.0
54,RoomMaster,Missing Data,Free Trial,Mid-career Leader,Consultant,checked,female,31,Missing Data,0.1
55,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214,Kenya,0.6
56,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,Staff Alumni,checked,male,366,Kenya,1.0
57,RoomMaster,The Room staff,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214,Kenya,0.6
58,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,female,214,South Africa,0.6
59,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214,Kenya,0.6
60,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184,Kenya,0.5
61,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,male,214,Kenya,0.6
62,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184,Ethiopia,0.5
63,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,male,366,United Kingdom,1.0
64,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,214,Cote d'Ivoire,0.6
65,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214,Mauritius,0.6
66,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214,Kenya,0.6
67,RoomMaster,AIIP 2018,Free Trial,Young Leader,AIIP 2018,checked,male,214,South Africa,0.6
68,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,male,214,Kenya,0.6
69,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366,South Africa,1.0
70,RoomMaster,Missing Data,Staff Membership,Mid-career Leader,AL Staff,checked,female,31,Missing Data,0.1
71,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214,Kenya,0.6
72,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214,Kenya,0.6
73,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184,Nigeria,0.5
74,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,female,214,South Africa,0.6
75,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214,Kenya,0.6
76,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,United States of America,1.0
77,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,Missing Data,checked,male,366,United Kingdom,1.0
78,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,Missing Data,male,366,South Africa,1.0
79,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,Missing Data,checked,male,366,South Africa,1.0
80,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,Missing Data,male,366,Switzerland,1.0
81,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,Missing Data,male,366,Ghana,1.0
82,RoomMaster,Joined post-Sprint - June,Free Trial,Young Leader,ALU Alumni,checked,male,153,Ghana,0.4
83,RoomMaster,Existing Room member,Free Trial,Missing Data,ALN,checked,female,224,Kenya,0.6
84,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214,Cambodia,0.6
85,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214,Switzerland,0.6
86,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,male,366,Canada,1.0
87,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,male,214,Kenya,0.6
88,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,214,Nigeria,0.6
89,RoomMaster,AIIP 2018,Free Trial,Young Leader,AIIP 2018,Missing Data,male,214,Ghana,0.6
90,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,male,366,Senegal,1.0
91,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214,Kenya,0.6
92,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214,Senegal,0.6
93,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,214,Nigeria,0.6
94,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366,Nigeria,1.0
95,RoomMaster,Existing Room member,Free Trial,Missing Data,ALN,checked,male,171,Kenya,0.5
96,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214,South Africa,0.6
97,RoomMaster,Joined post-Sprint - June,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,153,Zimbabwe,0.4
98,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214,United Kingdom,0.6
99,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,France,1.0
100,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214,South Africa,0.6
101,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,male,214,Kenya,0.6
102,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214,Kenya,0.6
103,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214,Mauritius,0.6
104,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214,Nigeria,0.6
105,RoomMaster,Missing Data,Staff Membership,Mid-career Leader,AL Staff,checked,Missing Data,31,Missing Data,0.1
106,RoomMaster,Existing Room member,Free Trial,Missing Data,ALN,checked,female,171,USA,0.5
107,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214,Nigeria,0.6
108,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214,Taiwan,0.6
109,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,male,366,Nigeria,1.0
110,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,Missing Data,checked,male,214,Nigeria,0.6
111,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214,Kenya,0.6
112,RoomMaster,AIIP 2020,Free Trial,Mid-career Leader,AIIP 2020,checked,male,214,Nigeria,0.6
113,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214,Kenya,0.6
114,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214,Nigeria,0.6
115,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214,Kenya,0.6
116,RoomMaster,Existing Room member,Free Trial,Senior Leader,Staff Nomination,checked,male,214,United States of America,0.6
117,RoomMaster,Existing Room member,Founding Member,Senior Leader,Board Member,checked,male,366,South Africa,1.0
118,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,Missing Data,214,Nigeria,0.6
119,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALUSB Alumni,checked,male,366,Rwanda,1.0
120,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366,Ghana,1.0
121,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214,Kenya,0.6
122,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214,Kenya,0.6
123,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,School of Wildlife Conservation,checked,male,366,South Africa,1.0
124,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184,Tunisia,0.5
125,RoomMaster,Missing Data,Staff Membership,Mid-career Leader,AL Staff,checked,female,31,Missing Data,0.1
126,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,Missing Data,checked,female,366,South Africa,1.0
127,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,male,214,Nigeria,0.6
128,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214,Nigeria,0.6
129,RoomMaster,Existing Room member,Founding Member,Senior Leader,Corporate Partner,checked,female,366,Ghana,1.0
130,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,male,366,Nigeria,1.0
131,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214,Kenya,0.6
132,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,Missing Data,male,184,South Africa,0.5
133,RoomMaster,Existing Room member,Free Trial,Missing Data,ALN,checked,male,171,Nigeria,0.5
134,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214,South Africa,0.6
135,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366,Nigeria,1.0
136,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214,United States of America,0.6
137,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214,Mauritius,0.6
138,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,ALUSB Alumni,checked,male,153,Nigeria,0.4
139,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,Missing Data,checked,female,366,Ghana,1.0
140,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,Missing Data,214,Nigeria,0.6
141,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184,Senegal,0.5
142,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214,Kenya,0.6
143,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,Botswana,1.0
144,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,United Kingdom,1.0
145,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,214,Nigeria,0.6
146,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366,Uganda,1.0
147,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214,Nigeria,0.6
148,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214,Nigeria,0.6
149,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214,Kenya,0.6
150,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214,Kenya,0.6
151,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,Missing Data,female,214,Kenya,0.6
152,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214,Kenya,0.6
153,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214,Kenya,0.6
154,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214,Mauritius,0.6
155,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,female,366,United States of America,1.0
156,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214,Kenya,0.6
157,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,female,214,Kenya,0.6
158,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214,Angola,0.6
159,RoomMaster,The Room staff,Staff Membership,Young Leader,LP Nairobi 2018,checked,male,214,Kenya,0.6
160,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214,Mauritius,0.6
161,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214,Nigeria,0.6
162,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,Missing Data,female,214,South Africa,0.6
163,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366,Benin,1.0
164,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366,Kenya,1.0
165,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214,Nigeria,0.6
166,RoomMaster,XL Nairobi 2019,Free Trial,Young Leader,XL Nairobi 2019,checked,male,214,Kenya,0.6
167,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,male,214,Nigeria,0.6
168,RoomMaster,Missing Data,Staff Membership,Mid-career Leader,AL Staff,checked,male,61,United States of America,0.2
169,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,South Africa,1.0
170,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,214,Nigeria,0.6
171,RoomMaster,The Room Staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,123,Australia,0.3
172,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214,United Kingdom,0.6
173,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214,United States of America,0.6
174,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,United States of America,1.0
175,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214,Nigeria,0.6
176,RoomMaster,Joined post-Sprint - June,Free Trial,Young Leader,ALU Alumni,checked,female,153,Kenya,0.4
177,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214,Nigeria,0.6
178,RoomMaster,AIIP 2018,Free Trial,Young Leader,AIIP 2018,checked,Missing Data,214,South Africa,0.6
179,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,female,214,United States of America,0.6
180,RoomMaster,Joined post-Sprint - May,Free Trial,Senior Leader,ALUSB Alumni,checked,female,184,Zimbabwe,0.5
181,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184,Zambia,0.5
182,RoomMaster,The Room staff,Founding Member,Mid-career Leader,Staff Alumni,checked,female,214,Kenya,0.6
183,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214,Kenya,0.6
184,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184,Ghana,0.5
185,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184,Ghana,0.5
186,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,Missing Data,female,214,Kenya,0.6
187,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214,Kenya,0.6
188,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214,Liberia,0.6
189,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214,United States of America,0.6
190,RoomMaster,XL Nairobi 2020,Free Trial,Mid-career Leader,XL Nairobi 2020,checked,male,214,Kenya,0.6
191,RoomMaster,ALU staff,Staff Membership,Young Leader,AL Staff,checked,male,214,Rwanda,0.6
192,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,Missing Data,male,214,Nigeria,0.6
193,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,The Room,checked,male,366,Nigeria,1.0
194,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,214,Nigeria,0.6
195,RoomMaster,LP Nairobi 2020,Free Trial,Young Leader,LP Nairobi 2019,checked,female,214,Kenya,0.6
196,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214,United States of America,0.6
197,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214,Senegal,0.6
198,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214,United States of America,0.6
199,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214,United States of America,0.6
200,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214,Morocco,0.6
201,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214,Kenya,0.6
202,RoomMaster,Corporate Partner - joined May,Free Trial,Senior Leader,Corporate Partner,checked,female,214,South Africa,0.6
203,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214,Nigeria,0.6
204,RoomMaster,Existing Room member,Staff Membership,Mid-career Leader,AL Staff,checked,female,214,Kenya,0.6
205,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214,Senegal,0.6
206,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184,Ghana,0.5
207,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214,Kenya,0.6
208,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,United States of America,1.0
209,RoomMaster,Existing Room member,Free Trial,Missing Data,ALN,checked,male,171,Canadian,0.5
210,RoomMaster,Missing Data,Free Trial,Mid-career Leader,Member Nomination,checked,female,31,Ghana,0.1
211,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214,Nigeria,0.6
212,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,The Room,checked,female,366,United States of America,1.0
213,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184,Nigeria,0.5
214,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,366,Kenya,1.0
215,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,male,214,South Africa,0.6
216,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214,Tanzania,0.6
217,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214,Kenya,0.6
218,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,Kenya,1.0
219,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,female,214,South Africa,0.6
220,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,The Room,checked,female,366,Kenya,1.0
221,RoomMaster,Missing Data,Staff Membership,Mid-career Leader,AL Staff,checked,female,61,Nigeria,0.2
222,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214,France,0.6
223,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214,Senegal,0.6
224,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214,Senegal,0.6
225,RoomMaster,Missing Data,Free Trial,Young Leader,ALU Alumni,checked,male,92,Morocco,0.3
226,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214,Kenya,0.6
227,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214,United Kingdom,0.6
228,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214,Kenya,0.6
229,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,female,214,South Africa,0.6
230,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,214,Mauritius,0.6
231,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214,Senegal,0.6
232,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214,Rwanda,0.6
233,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,United States of America,1.0
234,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366,Burundi,1.0
235,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,female,366,United States of America,1.0
236,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,214,South Africa,0.6
237,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,female,214,Kenya,0.6
238,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214,Kenya,0.6
239,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214,Cote d'Ivoire,0.6
240,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,Missing Data,male,366,United States of America,1.0
241,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184,South Africa,0.5
242,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214,Nigeria,0.6
243,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366,Nigeria,1.0
244,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214,Guinea,0.6
245,RoomMaster,Joined post-Sprint - July,Free Trial,Mid-career Leader,Missing Data,checked,female,123,United Arab Emirates,0.3
246,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214,Cote d'Ivoire,0.6
247,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214,Senegal,0.6
248,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,male,366,United States of America,1.0
249,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214,South Africa,0.6
250,RoomMaster,Joined post-Sprint - May,Free Trial,Senior Leader,ALUSB Alumni,checked,male,184,Rwanda,0.5
251,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214,Kenya,0.6
252,RoomMaster,DSLP Nairobi 2020,Premium Paying,Young Leader,DSLP Nairobi 2020,checked,male,214,Kenya,0.6
253,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214,Nigeria,0.6
